IdNalazistaLit;OpisNalazista;OznKoord;NazKlase;OznKoord;HTRS96_X;HTRS96_Y;Nesigurnost
155703;šuma Stari gaj, Dragonožec, Markuševac (Turopolje, nizinsko područje sjeverne Hrvatske);0361.243;Ambrosia artemisiifolia L.;0361.243;458177.7978;5057487.8719;NULL
155705;Kališće, Drnek (Turopolje, nizinsko područje sjeverne Hrvatske);0363.121;Ambrosia artemisiifolia L.;0363.121;477670.2761;5061556.0500;NULL
155710;Selce (Turopolje,  nizinsko područje sjeverne Hrvatske);0363.322;Ambrosia artemisiifolia L.;0363.322;479274.1830;5055994.6103;NULL
117322;Osijek - Bilje (Baranja);0378.3;Ambrosia artemisiifolia L.;0378.3;671789.5575;5056250.7559;NULL
117331;Osijek - Bilje (Baranja);0378.3;Ambrosia artemisiifolia L.;0378.3;671789.5575;5056250.7559;NULL
117330;Kopačevo - Kopački rit (Baranja);0378.4;Ambrosia artemisiifolia L.;0378.4;678286.7064;5056433.3394;NULL
250530;Naselje Zlarin, otok Zlarin, šibenski arhipelag, Šibenik, sjeverna Dalmacija. Unosioc: K. Vugrek Petljak.;ZLARIN;Ambrosia artemisiifolia L.;ZLARIN;446509.6235;4840044.2052;NULL
117327;Zmajevac (Baranja);ZMAJEVAC;Ambrosia artemisiifolia L.;ZMAJEVAC;679196.8634;5075969.2296;NULL
96842;kraj željezničke stanice u Zorkovcu (cca 10 km udaljenom od Karlovca prema Ljubljani) (Zorkovac);ZORKOVAC;Ambrosia artemisiifolia L.;ZORKOVAC;424962.9588;5051231.4859;NULL
176314;Županja, južni dio mjesta (Slavonija);ŽUPANJA;Ambrosia artemisiifolia L.;ŽUPANJA;672673.4926;4994819.5861;NULL
186554;Županja, lijeva obala Save jugozapadno od željezničke stanice, uzvisina na pašnjaku (Sava, Slavonija);ŽUPANJA;Ambrosia artemisiifolia L.;ŽUPANJA;672673.4926;4994819.5861;NULL
