IdNalazistaOp;OpisNalazista;OznKoord;IdOpazanja;NazKlase;OznKoord;HTRS96_X;HTRS96_Y;Nesigurnost
30720;Istra, Rovinj. Obalno područjje na potezu u. Pulari (turističko naselje Villas Rubin) do l. Veštar (auto kamp Veštar), 4 km jugoistočno od Rovinja.;0948.1;390;Fraxinus ornus L.;0948.1;279833.9220;4996558.2326;NULL
27116;usko obalno područje na potezu turističko naselje Villas Rubin (uvala Pulari, cca 4 km jugoistočno od Rovinja) do auto kampa Veštar (L. Veštar) (Istra);0948.1;344;Fraxinus ornus L.;0948.1;279833.9220;4996558.2326;NULL
405;Istra, Rabac, južno od autokampa makadamom uz obalu i po obronku Viškoljak;0950.2;5;Fraxinus ornus L.;0950.2;312636.1415;4995510.2957;NULL
21215;Istra, Rabac, južno od autokampa makadamom uz obalu i po obronku Viškoljak;0950.2;287;Fraxinus ornus L.;0950.2;312636.1415;4995510.2957;NULL
1240;Otok Cres. Selo Lubenice, oko prilazne ceste s obje strane i u samom mjestu.;1152.1;15;Fraxinus ornus L.;1152.1;331734.7878;4972741.3363;NULL
124240;Projekt "Očuvanje krških ekoloških sustava" (KEC). Kartiranje flore NP Plitvička jezera, Nalazište: Nacionalni park Plitvička jezera (Plitvice);1159.214;2530;Fraxinus ornus L.;1159.214;429638.3804;4971619.7220;NULL
30244;Poluotok Premantura, istočna obala prema Medulinu, obala uz Uvalu Lokve (južna Istra, Hrvatska);1249.2;376;Fraxinus ornus L.;1249.2;298470.6349;4962577.3722;NULL
129370;Projekt "Očuvanje krških ekoloških sustava" (KEC). Kartiranje flore NP Plitvička jezera, Nalazište: Drakulić Rijeka, neposredna blizina, Lika;1259.222;2621;Fraxinus ornus L.;1259.222;432828.1139;4961862.8525;NULL
251605;Naselje Ist, otok Ist, zadarski arhipelag (Zadar), sjeverna Dalmacija. Terenska istraživanja: Milenko Milović i Marija Pandža.;IST;8393;Fraxinus ornus L.;IST;361587.7063;4905136.2027;NULL
298376;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116728;15648;Quercus petraea (Mattuschka) Liebl.;XY.116728;472663.1799;5114177.4447;25.0000
298399;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116736;15656;Quercus petraea (Mattuschka) Liebl.;XY.116736;472759.0734;5114275.8120;25.0000
298403;Planinica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116738;15658;Quercus petraea (Mattuschka) Liebl.;XY.116738;472860.2484;5114272.7324;25.0000
298426;Rakita, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116749;15669;Quercus petraea (Mattuschka) Liebl.;XY.116749;471262.8064;5113371.9135;25.0000
298453;Degačica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116760;15680;Quercus petraea (Mattuschka) Liebl.;XY.116760;472859.9175;5113475.4137;25.0000
298508;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116779;15699;Quercus petraea (Mattuschka) Liebl.;XY.116779;473465.9425;5109765.7408;25.0000
298524;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116786;15706;Quercus petraea (Mattuschka) Liebl.;XY.116786;473458.6599;5109581.8482;25.0000
298525;Donja Selnica, istraživanje šumskih ekosustava - OIKON d.o.o. ;XY.116787;15707;Quercus petraea (Mattuschka) Liebl.;XY.116787;473165.5977;5109372.1539;25.0000
